#                       P.E. =    80.00     n,l -        E,l             R_int
#                                           2 0 -    36.91 1       1.95326E-01
#                                           2 1 -    59.99 0      -1.02682E-01
#                                           2 1 -    59.99 2      -3.90564E-01
#
    80.00000  5.59376E+00  0.00000E+00  6.03248E-01  4.99051E+00
#
#                       P.E. =    81.00     n,l -        E,l             R_int
#                                           2 0 -    37.91 1       1.93951E-01
#                                           2 1 -    60.99 0      -1.00954E-01
#                                           2 1 -    60.99 2      -3.84497E-01
#
    81.00000  5.49892E+00  0.00000E+00  6.02216E-01  4.89671E+00
#
#                       P.E. =    82.00     n,l -        E,l             R_int
#                                           2 0 -    38.91 1       1.92566E-01
#                                           2 1 -    61.99 0      -9.92717E-02
#                                           2 1 -    61.99 2      -3.78537E-01
#
    82.00000  5.40526E+00  0.00000E+00  6.00978E-01  4.80429E+00
#
#                       P.E. =    83.00     n,l -        E,l             R_int
#                                           2 0 -    39.91 1       1.91174E-01
#                                           2 1 -    62.99 0      -9.76347E-02
#                                           2 1 -    62.99 2      -3.72681E-01
#
    83.00000  5.31281E+00  0.00000E+00  5.99546E-01  4.71327E+00
#
#                       P.E. =    84.00     n,l -        E,l             R_int
#                                           2 0 -    40.91 1       1.89777E-01
#                                           2 1 -    63.99 0      -9.60410E-02
#                                           2 1 -    63.99 2      -3.66929E-01
#
    84.00000  5.22160E+00  0.00000E+00  5.97934E-01  4.62367E+00
#
#                       P.E. =    85.00     n,l -        E,l             R_int
#                                           2 0 -    41.91 1       1.88376E-01
#                                           2 1 -    64.99 0      -9.44890E-02
#                                           2 1 -    64.99 2      -3.61280E-01
#
    85.00000  5.13166E+00  0.00000E+00  5.96152E-01  4.53551E+00
#
#                       P.E. =    86.00     n,l -        E,l             R_int
#                                           2 0 -    42.91 1       1.86973E-01
#                                           2 1 -    65.99 0      -9.29771E-02
#                                           2 1 -    65.99 2      -3.55731E-01
#
    86.00000  5.04302E+00  0.00000E+00  5.94211E-01  4.44881E+00
#
#                       P.E. =    87.00     n,l -        E,l             R_int
#                                           2 0 -    43.91 1       1.85568E-01
#                                           2 1 -    66.99 0      -9.15037E-02
#                                           2 1 -    66.99 2      -3.50282E-01
#
    87.00000  4.95568E+00  0.00000E+00  5.92122E-01  4.36356E+00
#
#                       P.E. =    88.00     n,l -        E,l             R_int
#                                           2 0 -    44.91 1       1.84163E-01
#                                           2 1 -    67.99 0      -9.00676E-02
#                                           2 1 -    67.99 2      -3.44931E-01
#
    88.00000  4.86968E+00  0.00000E+00  5.89894E-01  4.27979E+00
#
#                       P.E. =    89.00     n,l -        E,l             R_int
#                                           2 0 -    45.91 1       1.82759E-01
#                                           2 1 -    68.99 0      -8.86674E-02
#                                           2 1 -    68.99 2      -3.39678E-01
#
    89.00000  4.78502E+00  0.00000E+00  5.87536E-01  4.19748E+00
#
#                       P.E. =    90.00     n,l -        E,l             R_int
#                                           2 0 -    46.91 1       1.81357E-01
#                                           2 1 -    69.99 0      -8.73018E-02
#                                           2 1 -    69.99 2      -3.34520E-01
#
    90.00000  4.70171E+00  0.00000E+00  5.85057E-01  4.11666E+00
#
#                       P.E. =    91.00     n,l -        E,l             R_int
#                                           2 0 -    47.91 1       1.79958E-01
#                                           2 1 -    70.99 0      -8.59696E-02
#                                           2 1 -    70.99 2      -3.29456E-01
#
    91.00000  4.61977E+00  0.00000E+00  5.82465E-01  4.03730E+00
#
#                       P.E. =    92.00     n,l -        E,l             R_int
#                                           2 0 -    48.91 1       1.78563E-01
#                                           2 1 -    71.99 0      -8.46696E-02
#                                           2 1 -    71.99 2      -3.24485E-01
#
    92.00000  4.53919E+00  0.00000E+00  5.79768E-01  3.95942E+00
#
#                       P.E. =    93.00     n,l -        E,l             R_int
#                                           2 0 -    49.91 1       1.77171E-01
#                                           2 1 -    72.99 0      -8.34008E-02
#                                           2 1 -    72.99 2      -3.19606E-01
#
    93.00000  4.45998E+00  0.00000E+00  5.76973E-01  3.88300E+00
#
#                       P.E. =    94.00     n,l -        E,l             R_int
#                                           2 0 -    50.91 1       1.75785E-01
#                                           2 1 -    73.99 0      -8.21620E-02
#                                           2 1 -    73.99 2      -3.14816E-01
#
    94.00000  4.38213E+00  0.00000E+00  5.74086E-01  3.80805E+00
#
#                       P.E. =    95.00     n,l -        E,l             R_int
#                                           2 0 -    51.91 1       1.74404E-01
#                                           2 1 -    74.99 0      -8.09523E-02
#                                           2 1 -    74.99 2      -3.10116E-01
#
    95.00000  4.30565E+00  0.00000E+00  5.71115E-01  3.73454E+00
#
#                       P.E. =    96.00     n,l -        E,l             R_int
#                                           2 0 -    52.91 1       1.73030E-01
#                                           2 1 -    75.99 0      -7.97708E-02
#                                           2 1 -    75.99 2      -3.05502E-01
#
    96.00000  4.23054E+00  0.00000E+00  5.68066E-01  3.66247E+00
#
#                       P.E. =    97.00     n,l -        E,l             R_int
#                                           2 0 -    53.91 1       1.71662E-01
#                                           2 1 -    76.99 0      -7.86164E-02
#                                           2 1 -    76.99 2      -3.00975E-01
#
